INSERT INTO address (address_id, street, street_num, latitude, longitude) VALUES (7961, 'alenby', 1, 32.0743, 34.7864);
INSERT INTO address (address_id, street, street_num, latitude, longitude) VALUES (7962, 'alenby', 2, 32.07438, 34.78648);
INSERT INTO address (address_id, street, street_num, latitude, longitude) VALUES (7963, 'alenby', 3, 32.07446, 34.78656);
INSERT INTO address (address_id, street, street_num, latitude, longitude) VALUES (7964, 'alenby', 4, 32.07454, 34.78664);
INSERT INTO address (address_id, street, street_num, latitude, longitude) VALUES (7965, 'alenby', 5, 32.07462, 34.78672);
INSERT INTO address (address_id, street, street_num, latitude, longitude) VALUES (7966, 'alenby', 6, 32.0747, 34.7868);
INSERT INTO address (address_id, street, street_num, latitude, longitude) VALUES (7967, 'alenby', 7, 32.07478, 34.78688);
INSERT INTO address (address_id, street, street_num, latitude, longitude) VALUES (7968, 'alenby', 8, 32.07486, 34.78696);
INSERT INTO address (address_id, street, street_num, latitude, longitude) VALUES (7969, 'alenby', 9, 32.07494, 34.78704);
INSERT INTO address (address_id, street, street_num, latitude, longitude) VALUES (7970, 'alenby', 10, 32.07502, 34.78712);
INSERT INTO address (address_id, street, street_num, latitude, longitude) VALUES (7971, 'alenby', 11, 32.0751, 34.7872);
INSERT INTO address (address_id, street, street_num, latitude, longitude) VALUES (7972, 'alenby', 12, 32.07518, 34.78728);
INSERT INTO address (address_id, street, street_num, latitude, longitude) VALUES (7973, 'alenby', 13, 32.07526, 34.78736);
INSERT INTO address (address_id, street, street_num, latitude, longitude) VALUES (7974, 'alenby', 14, 32.07534, 34.78744);
INSERT INTO address (address_id, street, street_num, latitude, longitude) VALUES (7975, 'alenby', 15, 32.07542, 34.78752);
INSERT INTO address (address_id, street, street_num, latitude, longitude) VALUES (7976, 'alenby', 16, 32.0755, 34.7876);
INSERT INTO address (address_id, street, street_num, latitude, longitude) VALUES (7977, 'alenby', 17, 32.07558, 34.78768);
INSERT INTO address (address_id, street, street_num, latitude, longitude) VALUES (7978, 'alenby', 18, 32.07565, 34.78775);
INSERT INTO address (address_id, street, street_num, latitude, longitude) VALUES (7979, 'alenby', 19, 32.07573, 34.78783);
INSERT INTO address (address_id, street, street_num, latitude, longitude) VALUES (7980, 'alenby', 20, 32.07581, 34.78791);
INSERT INTO address (address_id, street, street_num, latitude, longitude) VALUES (7981, 'alenby', 21, 32.07589, 34.78799);
INSERT INTO address (address_id, street, street_num, latitude, longitude) VALUES (7982, 'alenby', 22, 32.07597, 34.78807);
INSERT INTO address (address_id, street, street_num, latitude, longitude) VALUES (7983, 'alenby', 23, 32.07605, 34.78815);
INSERT INTO address (address_id, street, street_num, latitude, longitude) VALUES (7984, 'alenby', 24, 32.07613, 34.78823);
INSERT INTO address (address_id, street, street_num, latitude, longitude) VALUES (7985, 'alenby', 25, 32.07621, 34.78831);
INSERT INTO address (address_id, street, street_num, latitude, longitude) VALUES (7986, 'alenby', 26, 32.07629, 34.78839);
INSERT INTO address (address_id, street, street_num, latitude, longitude) VALUES (7987, 'alenby', 27, 32.07637, 34.78847);
INSERT INTO address (address_id, street, street_num, latitude, longitude) VALUES (7988, 'alenby', 28, 32.07645, 34.78855);
INSERT INTO address (address_id, street, street_num, latitude, longitude) VALUES (7989, 'alenby', 29, 32.07653, 34.78863);
INSERT INTO address (address_id, street, street_num, latitude, longitude) VALUES (7990, 'alenby', 30, 32.07661, 34.78871);
INSERT INTO address (address_id, street, street_num, latitude, longitude) VALUES (7991, 'alenby', 31, 32.07669, 34.78879);
INSERT INTO address (address_id, street, street_num, latitude, longitude) VALUES (7992, 'alenby', 32, 32.07677, 34.78887);
INSERT INTO address (address_id, street, street_num, latitude, longitude) VALUES (7993, 'alenby', 33, 32.07685, 34.78895);
INSERT INTO address (address_id, street, street_num, latitude, longitude) VALUES (7994, 'alenby', 34, 32.07693, 34.78903);
INSERT INTO address (address_id, street, street_num, latitude, longitude) VALUES (7995, 'alenby', 35, 32.07701, 34.78911);
INSERT INTO address (address_id, street, street_num, latitude, longitude) VALUES (7996, 'alenby', 36, 32.07709, 34.78919);
